window	max_motif_edits	max_fuzzy_motif	min_reference_identity	min_reference_copy_num	min_reference_length	min_purity	min_insertion_purity	min_motif_length	max_motif_length	min_rep_length	min_rep_units	n_rows	n_rows_pass	rows_known	rows_novel_motif	rows_novel_locus	n_loci	loci_known	loci_novel_motif	loci_novel_locus	frac_loci_novel	ucsc_loci_known	ucsc_loci_novel_motif	ucsc_loci_novel_locus	trexplorer_loci_known	trexplorer_loci_novel_motif	trexplorer_loci_novel_locus	objective	score
10	2	50	NA	NA	NA	NA	0.5	NA	NA	NA	NA	4518	2334	1877	457	0	147	133	14	0	0.0952	119	25	3	124	21	2	agreement	0.3783783783783784
0	0	50	NA	NA	NA	0.8	0.5	NA	NA	NA	NA	4518	1759	1098	632	29	131	89	39	3	0.3206	77	46	8	77	49	5	agreement	0.6363636363636364
1	2	50	NA	NA	NA	0.8	0.5	NA	NA	NA	NA	4518	1759	1574	178	7	131	122	8	1	0.0687	117	10	4	113	16	2	agreement	0.391304347826087
0	1	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	4518	4518	1653	2209	656	221	126	63	32	0.4299	112	71	38	105	79	37	agreement	0.7307692307692307
10	0	50	NA	NA	NA	0.8	NA	NA	NA	NA	NA	4518	2290	1172	815	303	175	103	50	22	0.4114	85	63	27	89	60	26	agreement	0.6923076923076923
50	0	50	NA	NA	NA	0.8	0.8	NA	NA	NA	NA	4518	1468	1013	455	0	105	78	27	0	0.2571	65	39	1	70	33	2	agreement	0.5625
0	1	50	NA	NA	NA	0.8	0.5	NA	NA	NA	NA	4518	1759	1407	323	29	131	115	13	3	0.1221	107	16	8	92	34	5	agreement	0.3404255319148936
1	0	50	NA	NA	NA	0.8	0.8	NA	NA	NA	NA	4518	1468	906	555	7	105	74	30	1	0.2952	63	39	3	67	36	2	agreement	0.6326530612244898
1	0	50	NA	NA	NA	NA	0.5	NA	NA	NA	NA	4518	2334	1223	1104	7	147	99	47	1	0.3265	80	63	4	88	57	2	agreement	0.6153846153846154
0	2	50	NA	NA	NA	0.8	0.8	NA	NA	NA	NA	4518	1468	1265	177	26	105	96	6	3	0.0857	90	10	5	92	9	4	agreement	0.47368421052631576
50	2	50	NA	NA	NA	NA	0.8	NA	NA	NA	NA	4518	1939	1672	267	0	116	111	5	0	0.0431	96	19	1	107	7	2	agreement	0.20833333333333334
0	2	50	NA	NA	NA	NA	0.8	NA	NA	NA	NA	4518	1939	1401	512	26	116	102	11	3	0.1207	91	20	5	99	13	4	agreement	0.5
50	1	50	NA	NA	NA	0.8	0.8	NA	NA	NA	NA	4518	1468	1219	249	0	105	99	6	0	0.0571	92	12	1	81	22	2	agreement	0.1935483870967742
0	1	50	NA	NA	NA	0.8	0.8	NA	NA	NA	NA	4518	1468	1161	281	26	105	93	9	3	0.1143	87	13	5	76	25	4	agreement	0.34285714285714286
